timestamp,track_id,class,direction,lane
2026-04-22 14:02:07,6,bike,in,Lane 3
2026-04-22 14:02:07,8,pickup,out,Lane 4
2026-04-22 14:02:08,12,car,in,Lane 4
2026-04-22 14:02:08,7,bike,in,Lane 3
2026-04-22 14:02:08,9,bike,in,Lane 3
2026-04-22 14:02:09,13,bike,in,Lane 3
2026-04-22 14:02:13,25,car,in,Lane 4
2026-04-22 14:02:16,30,car,in,Lane 4
2026-04-22 14:02:16,29,bike,in,Lane 3
2026-04-22 14:02:17,28,bike,in,Lane 3
2026-04-22 14:02:17,33,car,in,Lane 4
2026-04-22 14:02:20,35,bike,in,Lane 4
2026-04-22 14:02:21,41,pickup,in,Lane 4
2026-04-22 14:02:23,43,pickup,in,Lane 4
2026-04-22 14:02:25,47,car,in,Lane 4
2026-04-22 14:02:25,46,bike,in,Lane 3
2026-04-22 14:02:29,52,bike,out,Lane 2
2026-04-22 14:02:30,59,taxi,in,Lane 4
2026-04-22 14:02:31,54,bike,in,Lane 3
2026-04-22 14:02:32,58,bike,in,Lane 3
2026-04-22 14:02:34,56,bike,in,Lane 3
2026-04-22 14:02:34,64,car,in,Lane 4
2026-04-22 14:02:38,65,bike,in,Lane 3
2026-04-22 14:02:38,74,car,in,Lane 4
2026-04-22 14:02:41,76,pickup,in,Lane 4
2026-04-22 14:02:46,89,pickup,in,Lane 4
2026-04-22 14:02:46,82,pickup,in,Lane 3
2026-04-22 14:02:48,93,car,in,Lane 4
2026-04-22 14:02:49,91,bike,in,Lane 3
2026-04-22 14:02:50,97,car,in,Lane 4
2026-04-22 14:02:52,101,car,in,Lane 4
2026-04-22 14:02:54,106,taxi,in,Lane 4
2026-04-22 14:02:54,107,bike,in,Lane 3
2026-04-22 14:02:56,104,bike,in,Lane 3
2026-04-22 14:02:57,110,bike,in,Lane 3
2026-04-22 14:02:57,119,car,in,Lane 4
2026-04-22 14:02:58,114,bike,out,Lane 2
2026-04-22 14:03:00,124,pickup,in,Lane 4
2026-04-22 14:03:00,121,bike,out,Lane 4
2026-04-22 14:03:01,127,pickup,in,Lane 4
2026-04-22 14:03:03,130,car,in,Lane 4
